learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.033496454,2.4775866201892496E-9,1000.0,63.6,22.65587815326036,24.948453608247423,7.1428571428571495,1000.0,3024.0,0.0,0.0
2000.0,0.107475281,8.331173582561313E-9,2000.0,66.3,28.14376364628821,30.299896587383675,15.32663316582916,2000.0,3024.0,0.0,0.0
3000.0,0.140989455,1.098444474528233E-8,3000.0,67.23333333333333,29.918868435686473,32.253618194348725,17.39495798319327,3000.0,3024.0,0.0,0.0
4000.0,0.178780632,1.3976320366008828E-8,4000.0,68.2,31.534572887690874,33.85335413416538,18.877551020408177,4000.0,3024.0,0.0,0.0
5000.0,0.20969493,1.6423762913725028E-8,5000.0,68.30000000000001,31.44677155382706,34.04078235538911,18.46707818930043,5000.0,3024.0,0.0,0.0
6000.0,0.229952408,1.8028400071666885E-8,6000.0,68.78333333333333,32.46634494734321,34.942688433483845,19.64821964821963,6000.0,3024.0,0.0,0.0
7000.0,0.252366924,1.9803900716459997E-8,7000.0,68.8,32.612030515712775,34.688995215310996,19.911991199119896,7000.0,3024.0,0.0,0.0
8000.0,0.278558873,2.187861972167467E-8,8000.0,68.83749999999999,32.83781126158768,35.12880562060889,20.27502398464981,8000.0,3024.0,0.0,0.0
9000.0,0.304146423,2.3905463019280382E-8,9000.0,69.06666666666666,33.47625389535349,35.51077136900626,20.976440533636108,9000.0,3024.0,0.0,0.0
10000.0,0.329292657,2.5897348754449436E-8,10000.0,69.19,33.92852700717028,36.17153511497824,21.802030456852787,10000.0,3024.0,0.0,0.0
11000.0,0.353995548,2.785518999441216E-8,11000.0,69.14545454545454,33.76135038134328,35.95017927910927,21.471540953262366,11000.0,3024.0,0.0,0.0
12000.0,0.37853684,2.9800223616572716E-8,12000.0,69.425,34.40975543306456,36.1802052530875,22.233997456549393,12000.0,3024.0,0.0,0.0
13000.0,0.402971119,3.173677586444343E-8,13000.0,69.25384615384615,34.108708596629235,35.92497595383135,21.903087143415394,13000.0,3024.0,0.0,0.0
14000.0,0.423058844,3.33288395796592E-8,14000.0,69.27857142857144,34.177265889739644,35.92073897497021,22.139753801593063,14000.0,3024.0,0.0,0.0
15000.0,0.442602283,3.487776560798908E-8,15000.0,69.34666666666666,34.23555878854748,35.987748851454825,22.14696918388081,15000.0,3024.0,0.0,0.0
16000.0,0.461923874,3.640910895081857E-8,16000.0,69.40625,34.446910032234186,36.34590377113134,22.54746835443039,16000.0,3024.0,0.0,0.0
17000.0,0.480935415,3.791587911002958E-8,17000.0,69.41764705882353,34.49051464040605,36.419224654518764,22.518628912071524,17000.0,3024.0,0.0,0.0
18000.0,0.499949415,3.942284415864074E-8,18000.0,69.51666666666667,34.66814425699216,36.52978600347023,22.642041449316245,18000.0,3024.0,0.0,0.0
19000.0,0.519057427,4.0937260180121895E-8,19000.0,69.51052631578948,34.67292601808437,36.42449517120283,22.708472314876595,19000.0,3024.0,0.0,0.0
20000.0,0.538077978,4.244474443184831E-8,20000.0,69.66499999999999,35.00461427600776,36.637075718015666,23.085699797160235,20000.0,3024.0,0.0,0.0
