learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.029014047,2.1478439518623052E-9,1000.0,91.3,82.54960325419813,82.3529411764706,80.79470198675497,1000.0,1184.0,0.0,0.0
2000.0,0.130420576,1.009337030465818E-8,2000.0,91.9,83.7587960656185,83.38461538461539,82.61802575107296,2000.0,1184.0,0.0,0.0
3000.0,0.179267044,1.3920647527952161E-8,3000.0,91.43333333333334,82.83424245797619,82.75167785234899,81.72119487908962,3000.0,1184.0,0.0,0.0
4000.0,0.230783345,1.7957114718285286E-8,4000.0,91.675,83.31295475956622,83.27473631341033,82.28723404255318,4000.0,1184.0,0.0,0.0
5000.0,0.261476963,2.0362058000405215E-8,5000.0,91.58,83.12624709458824,83.0583501006036,82.14588634435962,5000.0,1184.0,0.0,0.0
6000.0,0.280465154,2.1849843584530882E-8,6000.0,91.60000000000001,83.15118523945766,83.13817330210773,82.10227272727273,6000.0,1184.0,0.0,0.0
7000.0,0.301406947,2.3490700142754035E-8,7000.0,91.57142857142857,83.08716628788197,83.162100456621,82.02315661182206,7000.0,1184.0,0.0,0.0
8000.0,0.326270865,2.5438867757314196E-8,8000.0,91.525,82.99087735274831,83.05423644088978,81.98724760892667,8000.0,1184.0,0.0,0.0
9000.0,0.350857208,2.736528648155017E-8,9000.0,91.66666666666666,83.2737755846187,83.39973439575033,82.30297310051911,9000.0,1184.0,0.0,0.0
10000.0,0.37100551,2.8943970478367473E-8,10000.0,91.57,83.07496181727447,83.12312312312312,82.06001276867417,10000.0,1184.0,0.0,0.0
11000.0,0.3899734,3.043016541411893E-8,11000.0,91.5090909090909,82.94818878363259,82.9530936302245,81.89571622407442,11000.0,1184.0,0.0,0.0
12000.0,0.408625918,3.189164994353222E-8,12000.0,91.65833333333333,83.24265505984766,83.26646606486125,82.17592592592592,12000.0,1184.0,0.0,0.0
13000.0,0.427070225,3.333682047419457E-8,13000.0,91.5923076923077,83.1032044239471,83.1613002619011,82.00230528569077,13000.0,1184.0,0.0,0.0
14000.0,0.445177564,3.475558848274665E-8,14000.0,91.63571428571429,83.19141352522587,83.23550465282749,82.10847975553858,14000.0,1184.0,0.0,0.0
15000.0,0.463395898,3.6183053305066295E-8,15000.0,91.67333333333333,83.26697283596005,83.3953735708588,82.19783352337512,15000.0,1184.0,0.0,0.0
16000.0,0.482194843,3.765601085893603E-8,16000.0,91.60000000000001,83.12742075493902,83.23144104803492,82.13241159266154,16000.0,1184.0,0.0,0.0
17000.0,0.50075891,3.91105649691903E-8,17000.0,91.64117647058823,83.20978995257484,83.30395958171776,82.22194420117603,17000.0,1184.0,0.0,0.0
18000.0,0.519090428,4.054689812043889E-8,18000.0,91.73333333333333,83.39370722689196,83.45747637576432,82.41758241758241,18000.0,1184.0,0.0,0.0
19000.0,0.537417983,4.1982920757943974E-8,19000.0,91.71578947368421,83.3631260918609,83.40537691091195,82.43107489675185,19000.0,1184.0,0.0,0.0
