learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.029420811,2.671830328553915E-9,1000.0,92.0,83.90439208900872,84.15841584158417,82.10290827740494,1000.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.146612052,1.3827199582494796E-8,2000.0,91.8,83.52619736419159,83.88998035363458,82.32758620689657,2000.0,1824.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.25207537,2.3913340125675833E-8,3000.0,91.53333333333333,82.95747330451462,83.32239001969796,81.67388167388168,3000.0,1824.0,0.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.321802149,3.0707310896230247E-8,4000.0,91.025,81.98125850118201,82.31527093596058,80.93467870419543,4000.0,6760.0,0.0,8.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
5000.0,0.360925471,3.451329874484076E-8,5000.0,90.94,81.81253468867556,82.06650831353919,80.70698466780239,1598.0,8552.0,1.0,0.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
6000.0,0.384706097,3.684124012321234E-8,6000.0,91.05,82.03289085098295,82.46244284781189,80.93039772727273,2598.0,10344.0,0.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
7000.0,0.412062246,3.953204978519637E-8,7000.0,91.28571428571428,82.513354350616,82.84106891701828,81.52075128748862,3598.0,12136.0,0.0,0.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
8000.0,0.438388812,4.213281148453761E-8,8000.0,91.5875,83.10656257330477,83.3539450902795,82.0915380521554,4598.0,13760.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
9000.0,0.462612744,4.4526909959964045E-8,9000.0,91.86666666666666,83.66538131962295,83.86243386243386,82.703213610586,5598.0,13928.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
10000.0,0.486130365,4.6851202340811083E-8,10000.0,92.03,83.99269247331178,84.19278064260214,83.05697278911565,6598.0,13928.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
11000.0,0.509611296,4.917186857735325E-8,11000.0,92.2909090909091,84.5095944861596,84.59302325581395,83.52758352758353,7598.0,13928.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
12000.0,0.532492951,5.143330719725747E-8,12000.0,92.45,84.82225961374158,84.99254596653967,83.81564844587352,8598.0,13928.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
13000.0,0.555037582,5.366143707749952E-8,13000.0,92.64615384615385,85.2208546346427,85.32842234499692,84.2789014964644,9598.0,13928.0,0.0,0.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
