learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.023487983,1.737303668502718E-9,1000.0,88.4,71.9913656140893,73.63636363636363,64.19753086419753,1000.0,3024.0,0.0,0.0
2000.0,0.093514258,7.2781442979909474E-9,2000.0,87.25,67.19202315857189,69.67895362663496,58.87096774193551,2000.0,3024.0,0.0,0.0
3000.0,0.129140357,1.0098613664681711E-8,3000.0,86.2,63.80505085652637,67.29857819905213,55.29157667386608,3000.0,3024.0,0.0,0.0
4000.0,0.169781498,1.331611702416713E-8,4000.0,85.575,62.58562509888548,66.17819460726847,54.42338072669827,4000.0,3024.0,0.0,0.0
5000.0,0.202835264,1.59329383173647E-8,5000.0,85.39999999999999,61.91209227416531,66.1095636025998,53.68020304568528,5000.0,3024.0,0.0,0.0
6000.0,0.223324859,1.755596194785709E-8,6000.0,85.23333333333333,61.72345266553384,65.87057010785826,53.685311029796146,6000.0,3024.0,0.0,0.0
7000.0,0.245876186,1.934229967781032E-8,7000.0,85.3142857142857,61.76382477374715,65.97153260509764,53.735373537353716,7000.0,3024.0,0.0,0.0
8000.0,0.271332643,2.135875882498299E-8,8000.0,85.5875,62.86958529545411,66.65702718334299,55.10124610591901,8000.0,3024.0,0.0,0.0
9000.0,0.293300751,2.309889855938032E-8,9000.0,85.92222222222222,63.763072845661775,67.5044883303411,56.08318890814559,9000.0,3024.0,0.0,0.0
10000.0,0.314027442,2.4740703059416262E-8,10000.0,86.09,64.28332999532678,67.91974169741697,56.693648816936495,10000.0,3024.0,0.0,0.0
11000.0,0.334187878,2.633852952500805E-8,11000.0,86.26363636363637,64.7016389092129,68.44193817878028,57.14690867838912,11000.0,3024.0,0.0,0.0
12000.0,0.354113311,2.7917730698324738E-8,12000.0,86.30833333333334,64.98077281729292,68.80577178659578,57.545219638242884,12000.0,3024.0,0.0,0.0
13000.0,0.376602215,2.9700101178474723E-8,13000.0,86.46923076923076,65.53773343148204,69.25900034952812,58.20860061772392,13000.0,3024.0,0.0,0.0
