learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.070473688,5.4653941689597245E-9,1000.0,81.10000000000001,71.43996953596752,70.96774193548389,69.66292134831461,1000.0,7888.0,0.0,8.0
2000.0,0.243802014,1.9694791784257524E-8,2000.0,80.95,71.40734403494157,70.96036585365853,71.00456621004565,2000.0,7888.0,0.0,6.0
3000.0,0.316085809,2.5613225669430362E-8,3000.0,81.63333333333334,72.38244746650308,71.94501018329939,71.65637860082305,3000.0,7888.0,0.0,1.0
4000.0,0.391474761,3.180228546458814E-8,4000.0,81.475,72.19537756594733,71.77142857142856,71.8785578747628,4000.0,7888.0,0.0,3.0
5000.0,0.44956471,3.655855929539022E-8,5000.0,81.78,72.62445311259967,72.20018309429356,72.11509029690846,5000.0,7888.0,0.0,1.0
6000.0,0.500642144,4.075176380112767E-8,6000.0,81.65,72.45800659006608,72.04164550533265,72.18292066700354,6000.0,7888.0,0.0,3.0
7000.0,0.550388529,4.4824885455142294E-8,7000.0,81.84285714285714,72.72740119415174,72.30936819172112,72.33347845015237,7000.0,7888.0,0.0,1.0
8000.0,0.599114406,4.882503877103536E-8,8000.0,81.7375,72.58932133617395,72.17672824223958,72.35572374645221,8000.0,7888.0,0.0,3.0
9000.0,0.655441583,5.3436980811612065E-8,9000.0,81.88888888888889,72.80116718775822,72.38692190411655,72.42895805142085,9000.0,7888.0,0.0,1.0
10000.0,0.719158368,5.8667813471551576E-8,10000.0,81.8,72.68313388393828,72.27300426569164,72.43677116462214,10000.0,7888.0,0.0,3.0
