learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.041676534,3.2799805999174712E-9,1000.0,81.10000000000001,71.43996953596752,70.96774193548389,69.66292134831461,1000.0,7888.0,0.0,0.0
2000.0,0.126085917,1.0408724452263366E-8,2000.0,80.95,71.40734403494157,70.96036585365853,71.00456621004565,2000.0,7888.0,0.0,3.0
3000.0,0.164138699,1.362244934997004E-8,3000.0,81.63333333333334,72.38244746650308,71.94501018329939,71.65637860082305,3000.0,7888.0,0.0,0.0
4000.0,0.20579198,1.714025223284132E-8,4000.0,81.475,72.19537756594733,71.77142857142856,71.8785578747628,4000.0,7888.0,0.0,0.0
5000.0,0.240091139,2.0036967149734913E-8,5000.0,81.78,72.62445311259967,72.20018309429356,72.11509029690846,5000.0,7888.0,0.0,0.0
6000.0,0.261962811,2.188412610018626E-8,6000.0,81.65,72.45800659006608,72.04164550533265,72.18292066700354,6000.0,7888.0,0.0,0.0
7000.0,0.288653531,2.41382748612865E-8,7000.0,81.84285714285714,72.72740119415174,72.30936819172112,72.33347845015237,7000.0,7888.0,0.0,0.0
8000.0,0.317223702,2.655115153018385E-8,8000.0,81.7375,72.58932133617395,72.17672824223958,72.35572374645221,8000.0,7888.0,0.0,0.0
9000.0,0.345425163,2.8932889017009486E-8,9000.0,81.88888888888889,72.80116718775822,72.38692190411655,72.42895805142085,9000.0,7888.0,0.0,0.0
10000.0,0.373139995,3.127352854329058E-8,10000.0,81.8,72.68313388393828,72.27300426569164,72.43677116462214,10000.0,7888.0,0.0,0.0
