learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.225225923,2.2755012502047338E-8,1000.0,86.0,82.76910352568757,82.8009828009828,81.28342245989305,1000.0,30560.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.470691402,4.860493730448807E-8,2000.0,85.05,81.61288229754108,81.79049939098661,79.87886944818304,913.0,30240.0,1.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.713728083,7.409748183143015E-8,3000.0,87.1,84.16278636744656,84.38886647841872,82.68456375838926,1913.0,30240.0,0.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.934271975,9.726768974745646E-8,4000.0,88.8,86.28475211908999,86.45297853039008,85.09151414309484,2913.0,30240.0,0.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,1.098573238,1.1463891361774462E-7,5000.0,88.78,86.27340518989583,86.41975308641975,85.04398826979472,264.0,30240.0,1.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,1.244931107,1.300763692453669E-7,6000.0,87.98333333333333,85.2949579551711,85.45491224530966,84.03807837059996,727.0,30240.0,1.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,1.389261604,1.4529998283289578E-7,7000.0,88.71428571428571,86.18838759590331,86.32981484685929,85.00379650721335,1727.0,30240.0,0.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,1.605138253,1.6807010249060473E-7,8000.0,89.0625,86.60486047230381,86.7303609341826,85.42152615794734,2727.0,30240.0,0.0,30.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,1.706054538,1.7876503883478748E-7,9000.0,88.57777777777778,86.0073405805892,86.16233678826222,84.74324725437815,693.0,30240.0,1.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,1.82019622,1.9078527853832681E-7,10000.0,88.22,85.57952421708964,85.7194811492302,84.33718920356336,381.0,30240.0,1.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
