learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.084168374,6.539467573857142E-9,1000.0,75.5,69.97821276011734,70.44632086851628,66.2534435261708,1.0,13200.0,3.0,0.0
2000.0,0.18163281,1.4858916664119396E-8,2000.0,73.75,67.78398950187605,67.6923076923077,64.69401479488904,201.0,21848.0,3.0,0.0
3000.0,0.229571165,1.8835095854378824E-8,3000.0,74.46666666666667,68.730788416839,69.03799514955537,65.81883087907184,1.0,14168.0,4.0,0.0
4000.0,0.296672883,2.4591566152189758E-8,4000.0,74.9,69.23363324667524,69.56653531373144,66.45506181089208,401.0,21848.0,2.0,0.0
5000.0,0.335589256,2.8013454369681167E-8,5000.0,76.94,71.7862674440639,71.94647201946471,69.52154374834788,1401.0,21848.0,0.0,0.0
6000.0,0.367763056,3.09115904638937E-8,6000.0,78.83333333333333,74.10792367872175,74.15547415547415,72.05720572057206,2401.0,21848.0,0.0,0.0
7000.0,0.406698049,3.450240017932116E-8,7000.0,80.64285714285714,76.31787173744353,76.29461161651506,74.40982058545798,3401.0,21848.0,0.0,0.0
8000.0,0.441201915,3.77588829783371E-8,8000.0,82.1,78.09045040839622,78.07380186801409,76.29923866269446,4401.0,21848.0,0.0,0.0
9000.0,0.474823706,4.1004134622032036E-8,9000.0,83.23333333333333,79.4791620644244,79.53898305084746,77.77286787450286,5401.0,21848.0,0.0,0.0
10000.0,0.507993859,4.427684499828353E-8,10000.0,84.13000000000001,80.56890071292301,80.58478101296795,78.88223552894212,6401.0,21848.0,0.0,0.0
11000.0,0.540771246,4.7581556613933715E-8,11000.0,84.9909090909091,81.63284113136764,81.6698123681581,80.05556897801401,7401.0,21848.0,0.0,0.0
12000.0,0.573388687,5.094000993404745E-8,12000.0,85.675,82.47023756006374,82.53226298140434,80.96556306056914,8401.0,21848.0,0.0,0.0
13000.0,0.606054159,5.4373379574291824E-8,13000.0,86.14615384615385,83.04820817214512,83.11140285071268,81.55469070053257,9401.0,21848.0,0.0,0.0
14000.0,0.638961853,5.7903515372874426E-8,14000.0,86.52142857142857,83.5073316709313,83.5727343954035,82.0593268682259,10401.0,21848.0,0.0,0.0
15000.0,0.671744408,6.149044863332684E-8,15000.0,86.89333333333333,83.96520877681507,84.03702500811951,82.57401170005319,11401.0,21848.0,0.0,0.0
16000.0,0.704425308,6.513626307674788E-8,16000.0,87.21875,84.3617227585034,84.41310975609755,83.00648163536648,12401.0,21848.0,0.0,0.0
17000.0,0.737192577,6.886190153322907E-8,17000.0,87.61764705882354,84.85057995988996,84.88764448273388,83.53925555208008,13401.0,21848.0,0.0,0.0
18000.0,0.769886723,7.264925813599801E-8,18000.0,87.88333333333334,85.17883386009231,85.23258175908998,83.89692852923804,14401.0,21848.0,0.0,0.0
19000.0,0.802720707,7.652436878950439E-8,19000.0,88.16315789473684,85.523058656429,85.57130942452042,84.27052734648203,15401.0,21848.0,0.0,0.0
20000.0,0.835512467,8.04647374347287E-8,20000.0,88.385,85.79237505331146,85.84744730108444,84.55349424828779,16401.0,21848.0,0.0,0.0
21000.0,0.868246777,8.446832095819422E-8,21000.0,88.56666666666668,86.01759166722674,86.06904554685234,84.80187365489304,17401.0,21848.0,0.0,0.0
22000.0,0.901022771,8.854721021394557E-8,22000.0,88.79090909090908,86.28965097154168,86.33870699684228,85.09068923821039,18401.0,21848.0,0.0,0.0
23000.0,0.933706637,9.268464458508417E-8,23000.0,89.01739130434783,86.56718395270265,86.60089115213239,85.39124399976866,19401.0,21848.0,0.0,0.0
24000.0,0.966379877,9.689072126595304E-8,24000.0,89.225,86.82179316907572,86.8590883683114,85.65405525352269,20401.0,21848.0,0.0,0.0
25000.0,0.999143828,1.0117865707060324E-7,25000.0,89.384,87.01668898279648,87.05365853658536,85.8664394504207,21401.0,21848.0,0.0,0.0
26000.0,1.03182603,1.055277269974827E-7,26000.0,89.50384615384615,87.16634985314927,87.2160022485595,86.0309172809173,22401.0,21848.0,0.0,0.0
27000.0,1.064532661,1.0995010670296435E-7,27000.0,89.64444444444445,87.33915345979611,87.38950027061158,86.22727944436237,23401.0,21848.0,0.0,0.0
28000.0,1.097532572,1.1448282903133582E-7,28000.0,89.725,87.4393184956793,87.49021654056874,86.34162552221801,24401.0,21848.0,0.0,0.0
29000.0,1.130200022,1.190398610294362E-7,29000.0,89.8344827586207,87.57456519891191,87.62592343854936,86.49193548387098,25401.0,21848.0,0.0,0.0
30000.0,1.157633563,1.229255388980566E-7,30000.0,89.94333333333333,87.7066685117575,87.75816595658348,86.63388268651427,26401.0,21848.0,0.0,0.0
31000.0,1.1834168,1.2663269701675201E-7,31000.0,89.98064516129031,87.74984233516804,87.80526109148016,86.67067204531799,27401.0,21848.0,0.0,0.0
32000.0,1.209230115,1.3039947300483576E-7,32000.0,90.08125,87.87440858522626,87.92421244863795,86.81126901022189,28401.0,21848.0,0.0,0.0
33000.0,1.236386801,1.3442044950045025E-7,33000.0,90.17878787878789,87.99207841613241,88.04059040590406,86.93250544310943,29401.0,21848.0,0.0,0.0
34000.0,1.262229855,1.383022789253398E-7,34000.0,90.28823529411764,88.12731879315814,88.17885654960082,87.0768267386795,30401.0,21848.0,0.0,0.0
