learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.06430095,5.8838936258107424E-9,1000.0,66.2,62.41404158030052,62.40266963292548,61.05990783410139,1000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.174572229,1.6445825901751717E-8,2000.0,70.19999999999999,66.87763648595065,66.99889258028793,66.07854297097325,2000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.223114515,2.109527172210316E-8,3000.0,71.73333333333333,68.5804980238072,68.62745098039215,68.01207091663524,3000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.275402886,2.6103522631401818E-8,4000.0,72.55,69.48473601065866,69.64335084324026,68.93917963224895,4000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.297533632,2.82232354214208E-8,5000.0,73.06,70.05265663394353,70.17932255922072,69.62795941375423,5000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.319799953,3.03559337683436E-8,6000.0,73.1,70.10096389503055,70.26529108327192,69.70152055565984,6000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.348030903,3.305993234974643E-8,7000.0,73.27142857142857,70.29284760555181,70.42364843503005,69.98235199743303,7000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.375723119,3.5712330259838045E-8,8000.0,73.2,70.2147743644995,70.3621786010506,69.90877192982457,8000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.402441827,3.8271484256742735E-8,9000.0,73.33333333333333,70.36282854365311,70.4833353831017,70.07854382246602,9000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.428746339,4.079096600044933E-8,10000.0,73.45,70.49421686650585,70.6012623186801,70.20202020202021,10000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.455039895,4.330939836365482E-8,11000.0,73.71818181818182,70.79382388516919,70.90085556114745,70.56307911617962,11000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.481187443,4.581384588310289E-8,12000.0,73.75833333333334,70.8392724097506,70.95286412692556,70.62225953913611,12000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.507392341,4.832378646313317E-8,13000.0,73.78461538461538,70.86922960198085,70.98339719029374,70.68891373527134,13000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.533616785,5.083559918548499E-8,14000.0,73.81428571428572,70.9022518115976,70.99224560848235,70.69544364508393,14000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.559758835,5.3339520099055446E-8,15000.0,73.83999999999999,70.93073030584017,71.02134258917361,70.71423240540338,15000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.586068072,5.585945440965395E-8,16000.0,73.85625,70.94934462554,71.01178101178101,70.73187797369158,16000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.612179027,5.836039700205956E-8,17000.0,73.91764705882353,71.01755901521574,71.11212456837579,70.7962853191069,17000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.638183646,6.085115458853543E-8,18000.0,73.99444444444444,71.10195075242586,71.19739109032733,70.85486582404583,18000.0,16576.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
