learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.052356629,4.037728463665893E-9,1000.0,68.60000000000001,65.08372123020948,65.53238199780462,63.699421965317924,1000.0,14784.0,0.0,0.0
2000.0,0.158605762,1.2649429883613356E-8,2000.0,71.75,68.5764841423869,68.59366314619233,67.60321100917432,2000.0,14784.0,0.0,0.0
3000.0,0.234975916,1.8839381227907208E-8,3000.0,72.36666666666667,69.27535802176298,69.2962962962963,68.5030395136778,3000.0,14784.0,0.0,0.0
4000.0,0.27941445,2.244121190212253E-8,4000.0,72.225,69.12422933027298,69.07015590200444,68.54473386183464,4000.0,14784.0,0.0,0.0
5000.0,0.314789515,2.5308430569132583E-8,5000.0,72.84,69.80119042906772,69.82222222222222,69.17839310031776,5000.0,14784.0,0.0,0.0
6000.0,0.333410151,2.6817669778468293E-8,6000.0,73.51666666666667,70.5522290995805,70.50853749072012,69.93946273174423,6000.0,14784.0,0.0,0.0
7000.0,0.352887426,2.839634126536134E-8,7000.0,73.7,70.75865752036864,70.72666560661473,70.17657540903937,7000.0,14784.0,0.0,0.0
8000.0,0.37578266,3.025204505870739E-8,8000.0,73.6125,70.66403064476215,70.61116525128777,70.14988687782807,8000.0,14784.0,0.0,0.0
9000.0,0.398592001,3.210078705529165E-8,9000.0,73.82222222222222,70.89362940696621,70.8704253214639,70.3498615655676,9000.0,14784.0,0.0,0.0
10000.0,0.421325873,3.394341214083756E-8,10000.0,74.09,71.19181923272396,71.1373510081319,70.66017438568679,10000.0,14784.0,0.0,0.0
11000.0,0.443579104,3.5747080327015785E-8,11000.0,74.21818181818182,71.33517249130705,71.28682798420573,70.80802882141019,11000.0,14784.0,0.0,0.0
12000.0,0.465906574,3.755676573031065E-8,12000.0,74.125,71.23309100622431,71.16991643454038,70.74342787147837,12000.0,14784.0,0.0,0.0
13000.0,0.488698164,3.940406897339556E-8,13000.0,74.23846153846154,71.35719274725726,71.32705479452055,70.84276510534563,13000.0,14784.0,0.0,0.0
14000.0,0.511164779,4.122503235289827E-8,14000.0,74.41428571428571,71.55310644978684,71.50131275360012,71.05220623888798,14000.0,14784.0,0.0,0.0
15000.0,0.53339017,4.302644405226326E-8,15000.0,74.53999999999999,71.69290776366365,71.63757890828073,71.18823085628064,15000.0,14784.0,0.0,0.0
16000.0,0.555855711,4.484732038195141E-8,16000.0,74.425,71.56659995654474,71.50814649770226,71.09352924554959,16000.0,14784.0,0.0,0.0
17000.0,0.578572011,4.668852122230041E-8,17000.0,74.48235294117647,71.62899551436436,71.58949505534088,71.1377245508982,17000.0,14784.0,0.0,0.0
18000.0,0.60124042,4.8525840402808446E-8,18000.0,74.62222222222222,71.78457372423672,71.73092394331333,71.29571446525073,18000.0,14784.0,0.0,0.0
19000.0,0.623540371,5.033329533697208E-8,19000.0,74.71052631578947,71.88266776311994,71.82809568480299,71.39199809478447,19000.0,14784.0,0.0,0.0
20000.0,0.64581241,5.2138487948580736E-8,20000.0,74.595,71.75559772395589,71.6967468805704,71.29216339906209,20000.0,14784.0,0.0,0.0
