learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
1000.0,0.038172907,2.94767596050476E-9,1000.0,81.0,71.48157709880583,71.81008902077153,70.6336939721793,1000.0,7888.0,0.0,0.0
2000.0,0.170213239,1.4086492578455558E-8,2000.0,80.95,71.3828290214167,71.20181405895691,70.4422032583398,2000.0,7888.0,0.0,0.0
3000.0,0.242988716,2.038211348332465E-8,3000.0,80.80000000000001,71.17160402996953,71.18559279639821,70.29396596183601,3000.0,7888.0,0.0,0.0
4000.0,0.27763532,2.3453732423484326E-8,4000.0,80.25,70.38207035514242,70.48935375420247,69.82429335370512,4000.0,7888.0,0.0,0.0
5000.0,0.320807291,2.7374186010695995E-8,5000.0,80.62,70.91480589459935,71.10912343470483,70.39413382218149,5000.0,7888.0,0.0,0.0
6000.0,0.344915138,2.961506346913055E-8,6000.0,80.73333333333333,71.07893461900312,71.12165875593305,70.44989775051124,6000.0,7888.0,0.0,0.0
7000.0,0.370903234,3.2086812083971585E-8,7000.0,80.60000000000001,70.88651867568882,70.95808383233533,70.26494416465952,7000.0,7888.0,0.0,0.0
8000.0,0.402122824,3.5123005951682314E-8,8000.0,80.375,70.56081943677832,70.68160597572361,70.04388475481778,8000.0,7888.0,0.0,0.0
9000.0,0.429883508,3.7882275928016755E-8,9000.0,80.55555555555556,70.81838424005987,70.97844112769486,70.32892505934215,9000.0,7888.0,0.0,0.0
10000.0,0.45779048,4.0716557164272916E-8,10000.0,80.63,70.92922081712123,70.99430967355497,70.36867064402632,10000.0,7888.0,0.0,0.0
11000.0,0.485513539,4.3591543826847855E-8,11000.0,80.53636363636365,70.79512990097055,70.87867247007618,70.2390881289964,11000.0,7888.0,0.0,0.0
12000.0,0.51324532,4.652683763145987E-8,12000.0,80.41666666666667,70.61965736831958,70.73474470734745,70.11698880976603,12000.0,7888.0,0.0,0.0
13000.0,0.540050224,4.942144258449061E-8,13000.0,80.53076923076922,70.77905215674983,70.93477262287551,70.30039896737854,13000.0,7888.0,0.0,0.0
14000.0,0.563202881,5.197124306187654E-8,14000.0,80.57142857142857,70.84431495073517,70.9308539061665,70.31215891726697,14000.0,7888.0,0.0,0.0
15000.0,0.586151035,5.454853243158716E-8,15000.0,80.51333333333334,70.76025068785269,70.86323763955343,70.2251196903331,15000.0,7888.0,0.0,0.0
16000.0,0.60930188,5.719817595074574E-8,16000.0,80.4375,70.64738115207857,70.75859491778773,70.14498283098052,16000.0,7888.0,0.0,0.0
17000.0,0.632236493,5.987219834625721E-8,17000.0,80.50588235294117,70.74332412203475,70.89408044967503,70.27002781017315,17000.0,7888.0,0.0,0.0
18000.0,0.655051704,6.258117040602905E-8,18000.0,80.53333333333333,70.78841841933608,70.88975658386641,70.27485578554463,18000.0,7888.0,0.0,0.0
19000.0,0.677879318,6.534051284650341E-8,19000.0,80.49473684210527,70.73314259209533,70.83497284961044,70.21379199485614,19000.0,7888.0,0.0,0.0
20000.0,0.70064249,6.814082537479079E-8,20000.0,80.46,70.68060467306597,70.7856769081259,70.19296773701471,20000.0,7888.0,0.0,0.0
